,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,1,2,1,1,0.25,20,1.2325444015299751,2.71323598140917,-0.0002691874667402,0.4464021808026893,1.2709866571464823,2.6661695375059296,-0.0180668608839791,0.10064451302421601,1.2667882598957358,2.961140526769676,-0.0241486202638734,0.0884875781851101
0,3,3,1,3,0.5,30,1.2505927331345716,2.741069631034256,-0.0105304188102295,0.4464021808026893,1.294724860351112,2.7152322391441843,-0.0368012699081217,0.6729476457140429,1.264482830921051,2.9497002975309887,-0.0201918695171989,0.0884875781851101
0,3,2,1,2,0.75,10,1.245034174410474,2.739891825617613,-0.0100962057616147,0.2204481486578748,1.2837064621016985,2.6739645227343947,-0.0210433468240305,0.3615966584148227,1.2729071173450213,2.977762675938975,-0.0298976048134615,-0.095584413744583
0,3,2,2,2,0.75,30,1.25798214876962,2.757061946125556,-0.0164261905498401,0.2204481486578747,1.302807623732245,2.7333731805401684,-0.043728320495372,-0.02816250815538185,1.2657528913754788,2.954737736401224,-0.0219341326830213,-0.0955844137445831
0,3,1,2,2,0.25,30,1.2545059516260704,2.7500357832016755,-0.0138359056181074,0.2204481486578748,1.2976794545177546,2.7146529260859484,-0.0365800613846685,-0.14077387031799612,1.2665140245553663,2.958317171354191,-0.0231721264003965,-0.095584413744583
0,3,1,2,2,0.5,30,1.2566354336732857,2.7542179723151348,-0.0153777231876133,0.2226254112685097,1.3007488699302183,2.725510706297939,-0.0407260641279636,-0.021777680977633995,1.2657293147791286,2.955173286095873,-0.0220847731591484,-0.0849371203491883
0,1,2,1,3,0.25,20,1.2498268302100872,2.7538111057993047,-0.0152277266366369,0.1372054032800932,1.2842416137111352,2.671547396158468,-0.0201203760860877,0.13904243906848987,1.2954658695842365,3.0254224257532143,-0.0463813436205564,-0.13610084329153
0,2,2,3,3,0.25,10,1.2503473574407924,2.7409970808456543,-0.010503672254198,0.138825152620234,1.2944565843461882,2.7095366840819284,-0.0346264435208067,-0.02415012707580652,1.2823208256499954,2.999462009154295,-0.0374025989102326,-0.2863183951137813
0,1,3,2,2,0.5,20,1.2501931087515976,2.7063922581020625,0.0022538387641342,0.4543862371354202,1.2914823142690923,2.696020105553286,-0.0294651885897272,-0.024347283500855632,1.252518074808478,2.887029852771376,0.0014835116245057,0.4034016287157795
0,1,2,1,1,0.25,10,1.2438363533943313,2.6834145836212207,0.0107248526900551,0.4543862371354201,1.2797070690028347,2.683697125322829,-0.0247597047022722,0.06510087237880874,1.2453160665094376,2.862471344512693,0.0099773882647699,0.4034016287157796
0,3,2,1,3,0.5,10,1.2507586935588602,2.7098405051128625,0.0009825983488842,0.4543862371354202,1.292664044378513,2.6989041293314413,-0.0305664422771758,0.27432769753423564,1.2533278469365747,2.8908735011260656,0.0001541362964359,0.4034016287157796
0,2,2,3,1,0.5,10,1.254334558751095,2.7065804965457647,0.0021844422514746,0.4543862371354202,1.2880951332879056,2.73892334965404,-0.0458476318023417,0.5622343075861906,1.247248987559662,2.89377376074097,-0.0008489558757049,0.4034016287157795
0,3,2,2,2,0.75,10,1.2399341121909502,2.6843862742379674,0.0103666265017169,0.4543862371354202,1.2757653459506175,2.6957762011640702,-0.0293720546114142,0.7108953027961253,1.2434416459249478,2.8652766246950363,0.0090071459536645,0.4034016287157795
0,1,3,2,2,0.5,10,1.2438363533943313,2.6834145836212207,0.0107248526900551,0.4543862371354201,1.2797070690028347,2.683697125322829,-0.0247597047022722,0.2130267177686479,1.2453160665094376,2.862471344512693,0.0099773882647699,0.4034016287157796
0,2,3,3,3,0.25,20,1.276667254486176,2.922484544979968,-0.0774113498498434,-0.0099354565090397,1.293115104922335,2.7757983756777413,-0.0599282225002921,-0.4222805762203541,1.2513556337003338,2.8388340403150654,0.0181526546062044,0.2968753140658058
0,3,2,2,2,0.25,20,1.241423788826447,2.6682712538990505,0.016307635102099,0.4979433481276017,1.2786416099413298,2.695123954692514,-0.0291229967370072,0.13065676988232694,1.23903102821473,2.8312402950678828,0.0207790492832653,0.4381790728126286
0,1,3,2,3,0.75,20,1.2296733701056195,2.683713091041171,0.0106148041073103,0.5624901375382406,1.2791384834434631,2.691850422547021,-0.0278730107370612,0.6294555401265465,1.2724473816113575,3.012160456951493,-0.0417945207637964,-0.1198636477718941
0,2,3,3,3,0.75,20,1.2504403075482633,2.8095305601990788,-0.0357694169873616,0.1828786314628382,1.2906109256661131,2.745070940119488,-0.0481950662168138,0.02394045647592566,1.262515288641894,2.880637245998746,0.003694477077476,0.4253531969225361
