,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,1,3,3,3,0.5,30,1.359406548413135,3.3933310017443303,0.0042872080269193,0.7504161559383214,1.5127383514472112,3.919531312089597,0.0173438256510186,0.4528420887152951,1.7910902498919348,5.217699352013271,-0.0072505227085959,-0.305748239212836
0,2,3,1,2,0.75,10,1.3514848985081478,3.1509812504185835,0.075400443783318,0.7504161559383213,1.4650413352301517,3.607250231487996,0.0956350568089445,0.738708563556776,1.8234861079529576,5.55734658063758,-0.0728177057691445,-0.305748239212836
0,2,1,3,1,0.5,20,1.346927995679871,3.2543957652651745,0.0450552887555566,0.7504161559383214,1.4843073603120394,3.748197947513152,0.0602983972993493,0.5092572347979063,1.7968093132894365,5.348901448361607,-0.0325784251444336,-0.305748239212836
0,2,3,3,2,0.5,20,1.3359015912106889,3.2623798647023565,0.0427124963966913,0.6958709857238988,1.4749580288244313,3.755435269300456,0.0584839459341801,0.7476157675951443,1.7839534515885922,5.325709300246063,-0.0281012980169184,-0.1595480158005844
0,2,1,2,1,0.25,30,1.3852445742208124,3.403252595828941,0.0013758922308082,0.526635477747805,1.516711141336836,3.892676950214489,0.0240764174849917,0.3001658347489492,1.7875615979845856,5.218830333308401,-0.0074688529388062,0.0049224146796751
0,3,3,2,2,0.5,20,1.3631425131790682,3.441091181807102,-0.0097271696482894,0.6147063015863276,1.5157412638864944,3.959729497049117,0.0072658363449361,0.21420903411688508,1.7901444593898488,5.18926362335593,-0.0017611488253241,-0.0944135875654948
0,1,3,1,2,0.25,20,1.3722512054113103,3.4225586645258472,-0.0042891311796218,0.6147063015863276,1.4934398638044477,3.859791669946521,0.0323210062195788,0.45714315125117283,1.790774586097754,5.269792622066794,-0.017306865543061,-0.0944135875654949
0,2,1,3,3,0.25,20,1.3627688334401469,3.439145237813666,-0.0091561669003312,0.6147063015863276,1.514342210559774,3.954547925894286,0.0085648954626469,0.8260989329755875,1.789726026300109,5.191051032766,-0.0021061991896944,-0.0944135875654948
0,3,3,1,1,0.5,10,1.36464005993763,3.4498823164218715,-0.0123067721649268,0.6147063015863274,1.5213480644599833,3.9815568604408274,0.0017935510896899,0.50634320671091,1.7918213582204467,5.1831736743401695,-0.000585514907853,-0.0944135875654948
0,1,1,1,2,0.5,10,1.3473327925044352,3.2837291554440515,0.0364479257196396,0.6023232812499804,1.4898212544790046,3.795204229830447,0.0485135664421988,0.5522726721355831,1.7933736223891936,5.311872028128277,-0.0254300824804918,-0.2917990555998043
0,2,3,1,2,0.75,30,1.3516472677364195,3.274234951853642,0.0392338313562273,0.722501013211211,1.501383562492258,3.853100510737433,0.0339985304914431,0.5951397087609416,1.817448695215245,5.243958575762242,-0.0123197333055744,0.1452867714965287
0,2,3,1,1,0.5,30,1.445388619471854,3.570324303016792,-0.0476483367460316,0.447581095968148,1.5173420047731787,3.8971368500763073,0.0229582868241456,0.48669188593902346,1.8245513553733423,5.382501425751443,-0.0390647311781169,0.0147487939435836
0,2,2,3,2,0.25,30,1.429159486857765,3.614874323439692,-0.0607207500163378,0.4862202234063726,1.4990910187076785,3.90444972267244,0.0211248942992149,0.061104717381918694,1.8433792391368928,5.570311888959382,-0.0753205930961375,0.1135395749771006
0,1,2,3,3,0.5,20,1.3577912430035814,3.317906234586036,0.0264192680742592,0.4418012094607766,1.490635729583369,3.803980583480511,0.046313268137168,0.4560374924481124,1.775787297245235,5.263633598045152,-0.0161178970443718,-0.1754530283872593
0,1,1,1,3,0.5,20,1.359167777795705,3.3385920548881955,0.0203493810291317,0.4418012094607766,1.4967665101089211,3.834532644788868,0.0386536350603397,0.11427697292584094,1.7761514993329368,5.243989546311291,-0.0123257120137394,-0.1754530283872593
0,1,1,2,2,0.75,30,1.3322576366862569,3.21516865840157,0.0565657874590748,0.8075371648706866,1.4700702774773888,3.782733533968548,0.051640064309259,0.7719669786858715,1.8029449929088803,5.335352914344699,-0.0299629490409283,-0.1650959515186627
0,2,2,2,3,0.5,10,1.342477261874423,3.398340626421797,0.0028172225254243,0.4522476950588544,1.498637058895452,3.893010204537578,0.0239928681031558,0.002784144152599699,1.7870255682953955,5.191385904615732,-0.0021708445099644,-0.0218598253647927
0,2,3,2,2,0.75,20,1.3775890082052231,3.4267220571513386,-0.005510804895825,0.4522476950588544,1.51411770409168,3.856152913669249,0.0332332699669774,0.3177584903843186,1.788078561581152,5.360854889160458,-0.0348859765536888,-0.0218598253647925
0,2,2,3,3,0.25,30,1.347867055099783,3.235686675109275,0.0505451394022605,0.4562329971357791,1.499072983274325,3.7762007048456376,0.053277894029816,0.516300893304684,1.7701668104820605,5.283063307722927,-0.0198687044230041,-0.0752852018779023
0,2,3,2,3,0.75,20,1.3637293424352932,3.442758861621228,-0.0102165207086446,0.5785686436486875,1.5215541192277209,3.9814904867434033,0.0018101914781433,0.687821627202346,1.7923225061052528,5.186576538245991,-0.0012424206083554,-0.358940021709284
0,3,1,1,3,0.75,10,1.3559108524525707,3.427846341092238,-0.0058407060758716,0.7418631122635666,1.5136301956725242,3.959561064617352,0.0073080636307658,1.0622745593598686,1.7970974732091345,5.203514658829124,-0.0045122392889735,-0.0546180811196366
0,3,2,3,2,0.75,10,1.3484425820445929,3.410962205009544,-0.000886355831138,0.7418631122635667,1.5049087639554966,3.93731448112388,0.0128854505394001,0.9971741011235175,1.8032361883573664,5.232760325449418,-0.0101579676076981,-0.0546180811196366
0,2,3,2,1,0.75,10,1.341691206536178,3.402536935229852,0.0015858901393113,0.7418631122635666,1.497024520713614,3.9244356155337305,0.0161142796475477,0.5897557781301277,1.8101704231919693,5.265889227656872,-0.0165533349552522,-0.0546180811196366
0,2,3,3,3,0.75,30,1.3653447184023628,3.4531396981585485,-0.0132625930565171,0.4269052049355707,1.5223451635485188,3.98300733670046,0.0014299057099788,0.5706438861836696,1.7941666701712289,5.187711488247121,-0.0014615169772262,-0.061477285832742
0,1,1,3,2,0.5,10,1.4051776899715935,3.37606165623944,0.0093545911437986,0.4093287072112094,1.504685159785225,3.792688378682007,0.0491443093723885,0.20704603265290095,1.8016175483032604,5.321474727092996,-0.0272838350444246,-0.1443823328673227
0,2,2,2,3,0.5,30,1.3579031954692522,3.397194646818244,0.0031534899128415,0.4518887854699489,1.4968709403987928,3.8412928008683296,0.036958812750704,-0.01578896448155548,1.7986594857904812,5.272415630481763,-0.0178132240775035,-0.011544592053263
0,3,2,1,2,0.75,30,1.443609631088625,3.5537492741980654,-0.0427846885450029,-0.0630650667148838,1.542306008638385,3.871517998829152,0.0293811267897546,-0.3012154404577335,1.7324155600108058,5.131637082094553,0.0093633640857186,0.3691423773301333
0,2,3,2,2,0.25,10,1.378826204541176,3.5704684357371246,-0.0476906299362047,-0.1883916042029345,1.5089271649909326,3.942672225539425,0.0115422234514367,-0.49934128137467965,1.8073732682152184,5.270680382135375,-0.0174782431431852,-0.1294432676586069
0,2,1,3,2,0.5,10,1.3255866756703327,3.374125263994168,0.0099227911006856,0.4588776567902557,1.4807705478899935,3.906764624374751,0.0205445309165394,0.19898740374881008,1.808295844008004,5.248792821988015,-0.013252960137805,-0.0284601610959757
0,1,3,2,3,0.5,10,1.3438586767316345,3.2947685091862904,0.0332086231786813,0.6716368785342447,1.4966746276630722,3.888460944539225,0.0251334020267686,0.20260360945618888,1.7864645689381446,5.263618292445032,-0.0161149423755262,-0.2547969910710097
0,1,2,2,3,0.5,10,1.3644048125980974,3.45614339057016,-0.0141439733155772,0.0126390182270352,1.520752497503285,3.9701770579921,0.004646553719015,-0.2671352483732739,1.7942302203129927,5.20228914841425,-0.0042756606893479,-0.2624334342922517
0,2,1,3,3,0.25,30,1.3771379996250537,3.442420000585919,-0.0101170879485088,0.3546143873014498,1.508326969044784,3.900990855621012,0.0219920584557696,0.14539428744908167,1.8052970730612048,5.318713545846858,-0.0267508029423753,-0.1489192199058295
0,3,3,2,1,0.5,10,1.3768301167356314,3.373773018397763,0.0100261513228616,0.4493368387230333,1.4964452886290258,3.9154928700864784,0.0183562936358704,0.5618823516810604,1.7156983912802488,5.359292908249182,-0.0345844440231231,0.1661781275194959
0,3,3,2,2,0.5,30,1.3699155173596762,3.5248850472400166,-0.0343149931342785,0.291716521010522,1.5155030251673711,3.952671481100837,0.009035334378754,-0.1103018929980551,1.8179994503473835,5.332823784070231,-0.029474713207644,-0.081319850810618
0,1,1,3,3,0.25,10,1.36111428860439,3.40218799813056,0.0016882795416951,0.2042762111777954,1.507369334074489,3.900628496355079,0.0220829046671273,-0.02648776555681462,1.7996431630170275,5.307749244621284,-0.024634199934896,-0.7051317575318206
0,1,3,1,1,0.5,20,1.3148375038719549,3.217807112113045,0.0557915800180104,0.5874576468446514,1.4896206878447549,3.834733203077289,0.0386033535790244,0.7487887768613911,1.832519962113104,5.410726317295002,-0.0445134040208083,-0.073305028770033
0,2,2,1,2,0.75,30,1.3638633202943773,3.437710050698062,-0.00873503669843,-0.0767216360911009,1.5223869484783903,3.956989618318481,0.0079527446860743,0.21872798192987714,1.7937743440796416,5.20326576370514,-0.0044641913416274,-0.2795711372159295
0,3,1,2,3,0.5,20,1.3192008656999992,3.200764772073473,0.0607923524076871,0.871908289856018,1.4818459462610838,3.823644266450298,0.0413834339447221,0.7943425281423734,1.7827220518437716,5.237852015596174,-0.0111408926893841,-0.0831166216354299
0,1,3,1,3,0.5,20,1.3600726864449884,3.410358110025152,-0.000709094873331,0.0062445732726704,1.5037237611494911,3.8616006964358895,0.0318674695827222,-0.2641905372346102,1.7986260325992898,5.294064039972199,-0.0219923402557167,-0.3100890472832034
0,1,1,1,2,0.25,10,1.3420105229358108,3.251494820682804,0.0459065194866544,0.3547406160140059,1.4987062460707088,3.8144034561336295,0.0437001750524289,-0.007657594947598101,1.8166732173017823,5.3261444328507785,-0.0281852981698551,-0.2553684802048178
0,3,2,3,3,0.75,20,1.3432880861826113,3.2830876961282422,0.0366361505777372,0.3547406160140058,1.5014033720469686,3.8411394554170784,0.0369972576162969,0.36970166848190017,1.8103610962627283,5.284394576984914,-0.0201256992342295,-0.2553684802048179
0,3,3,1,2,0.25,20,1.3422373932887888,3.2414844142003973,0.0488438957055551,0.3547406160140059,1.498219870649369,3.806124739102318,0.0457757120895776,0.49059141433126424,1.8190953162350352,5.343161062342213,-0.0314702725989342,-0.2553684802048178
0,1,3,3,3,0.25,30,1.3599976437784067,3.380866598676789,0.0079446660150376,0.404586792945436,1.5124912808487732,3.9196060054851096,0.0173250994512668,0.6246633603221372,1.781094023463388,5.250257183689055,-0.0135356477725836,-0.2622448391474192
0,3,1,1,3,0.25,20,1.3549739721119196,3.345759424396196,0.0182462435809296,0.481626301954907,1.5015574108938912,3.908111632302992,0.0202068258308572,0.6848112848748,1.783232151684496,5.216325939400683,-0.0069853923362623,0.0965891566978335
0,2,3,2,3,0.25,30,1.4022309309893088,3.617570839404229,-0.0615119947956619,0.1659712760930466,1.5599005766001657,4.094925200838509,-0.0266287501492017,-0.14712294955978425,1.7330574117328637,5.023521250029078,0.0302345797334744,0.5916852428462738
0,2,2,1,3,0.75,10,1.3068413262096743,3.2689978674977143,0.0407705608657149,0.5781051489609995,1.4885636813086067,3.873461205209619,0.0288939502383362,0.15420813869444627,1.7905974563578295,5.101690134708514,0.0151444711164399,0.2748474890356907
