,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,3,3,1,1,0.25,30,1.6853373164151657,7.580930410603038,-0.0016296214388455,0.4250186076007669,1.7273621950411728,7.10007873439084,0.0153826486419956,0.5823157809471131,2.240034923281078,8.23138589222993,-0.0332360836837235,0.4912064221562853
0,1,3,2,1,0.75,10,1.6869975702730793,7.591392096609165,-0.0030118705858992,0.4250186076007668,1.723622836592024,7.085346747355171,0.0174256358535375,0.2388386636875644,2.2421968323495256,8.224668298831242,-0.0323928648156115,0.4912064221562852
0,2,3,3,1,0.75,30,1.6950654599052486,7.482084525756767,0.0114303805473066,0.5423779553427559,1.7558251845246362,7.1106679916146325,0.0139141626166172,0.2683920887253686,2.2494092306876543,8.413229601629642,-0.0560618246467412,-0.0141681937670418
0,2,3,1,1,0.25,30,1.6978779078019164,7.54780441088281,0.0027471477388727,0.3408297225628746,1.7676726179418454,7.165379247246873,0.0063269718789769,0.018765144425092195,2.250986031465609,8.448546615325615,-0.0604949557617675,-0.5355673809198348
0,2,2,2,2,0.25,10,1.7051781969518325,7.378255850817498,0.0251487331427163,0.4594996595754785,1.7592874939176104,6.97354036571777,0.03293060523078,0.4074778863458581,2.28935412256363,8.704893888903479,-0.0926726785027967,-0.5709417355845774
0,3,2,3,1,0.5,10,1.698271910154654,7.612775235581828,-0.0058371155405825,0.4594996595754785,1.7654737665251834,7.216303219087448,-0.0007350098468634,0.5964902055577466,2.240331880037349,8.413031916425489,-0.056037010418759,-0.5709417355845772
0,1,3,3,3,0.25,20,1.9753726681708648,7.655953755643535,-0.0115420728955806,0.482050038458537,1.986453798586341,7.36041213626347,-0.0207195967289268,0.7806250571723764,2.21848943312529,8.012960454439018,-0.0058184596195887,0.7268603869774856
0,1,3,3,2,0.75,10,1.6857595640238487,7.357168828452521,0.0279348537222119,0.3984853437312933,1.7561534298140486,6.996546032400917,0.0297402492582374,0.1055509079556387,2.266500229407588,8.571217632731283,-0.075893106603581,-0.4232438343298381
0,2,1,1,2,0.25,10,1.6864042500245806,6.987950044049264,0.0767178462072368,0.2448053817025524,1.7626059954311195,6.698799602240808,0.0710308197445239,0.5079781289713473,2.3303451764177088,8.862516917632885,-0.1124581439195586,-0.4126318225779803
0,1,3,3,1,0.75,30,1.7001288602927214,7.674006426072674,-0.0139272800493897,-0.0987706551798756,1.7675964924316825,7.263181114740361,-0.0072358940175469,0.07742949138608268,2.2398842269606343,8.40783606851956,-0.0553848070581066,-0.4323217005300342
0,2,3,3,3,0.75,10,1.7505748124404803,7.855905488505447,-0.0379606742604474,0.2499670037890856,1.7819819544921789,7.274171930914749,-0.0087600670183998,0.09941782138592886,2.22676165485396,8.28976493996484,-0.0405640524414199,0.706779405261579
0,2,3,2,2,0.25,20,1.732469879440936,7.856966242410997,-0.038100826257011,0.0960709010588228,1.7867981597814178,7.311962289692575,-0.0140007191799684,0.2061219971712203,2.2984493865141062,8.556153411978366,-0.0740021860880959,0.0821030874044142
0,3,2,1,2,0.5,30,1.7161853915822622,7.203457383711714,0.048243961953995,0.3025327121344289,1.7732962904251688,6.903507013334168,0.0426426178027898,0.5237958383028312,2.20485547661239,8.267076682362516,-0.0377161326940587,0.3911096784593719
0,1,2,2,1,0.75,30,1.6872205235773166,7.311804641536213,0.0339285920771125,0.2575199269628674,1.77713765282657,6.999391214705827,0.0293456880188499,0.30289670057620843,2.2673712266009027,8.434001958173635,-0.0586692529225385,0.1040904129230144
0,3,1,2,2,0.5,20,1.6909522274312567,7.352132028790131,0.0286003403400612,0.2003300067162342,1.7694008294605732,6.990784879274087,0.0305391884735213,-0.03402015650941065,2.257014360449772,8.569362597699726,-0.0756602552762106,-0.1013928838317114
0,1,1,1,2,0.75,20,1.72052655997113,8.265946398702567,-0.0921372857593136,0.2763792988595772,1.7629177172489985,7.68041092498189,-0.0650960567052871,0.1690311483621173,2.2632066652747023,8.46903639087147,-0.0630669133540535,0.3151792276152695
0,1,3,3,3,0.25,10,1.6930571146198932,7.819383171272269,-0.0331351669937969,0.3610916243823348,1.76399156441464,7.37724320115253,-0.0230536776809211,-0.013581315977804764,2.255266669874013,8.358713342855609,-0.0492187284233045,0.3015010968714217
0,2,1,3,1,0.25,10,1.7534877291642974,8.185910938408139,-0.0815626091095624,0.3278857065681961,1.8248369853018915,7.713113440891524,-0.0696311422729611,0.422241169188388,2.2648254058750013,7.894795327756078,0.0090140940135877,0.7327143794060335
0,2,1,1,1,0.75,10,1.8358084756222977,8.247921415264472,-0.0897557367462413,0.3169279177166652,1.852495743851367,7.587866343650496,-0.0522622552839469,-0.05072631525133686,2.1903504832143685,7.975752725583509,-0.0011479984665376,0.6459424256007102
0,2,2,1,3,0.75,20,1.7614590034871869,8.126468520167073,-0.0737087859433542,0.257656099629594,1.8013125003395885,7.605959135220232,-0.0547713086593379,-0.18243016671272144,2.2051877501632404,7.851997710319113,0.0143862200699431,0.5147531846580252
0,2,2,2,3,0.25,10,1.835080046600165,7.967232985378475,-0.0526698079035559,0.4143341409036735,1.8755627785126268,7.56065897238895,-0.0484892196837638,0.6666814744890481,2.1643982761824265,7.759666294815749,0.0259760241934168,0.6862985947864826
0,1,2,1,3,0.75,20,1.7118058108272485,7.362735381776457,0.0271993734583679,0.1300682388894585,1.7661350496786676,7.022364789230333,0.0261597824893832,0.163570262011279,2.246295136145791,8.45458567016777,-0.0612530017890045,-0.1350438092342188
0,2,3,2,2,0.75,10,1.7992658514177773,7.16660582256256,0.0531129705379059,0.1300682388894585,1.8142207685911744,6.849061363996507,0.050192975066316,-0.028836315880147956,2.3319427553903096,8.95405842812845,-0.1239487960451275,-0.1350438092342189
0,2,3,2,2,0.75,20,1.7369466109287923,7.250355868815095,0.0420475046148729,0.3514785644355858,1.84447627476733,7.155846213806254,0.0076489839985389,0.6050795865913063,2.205719170361012,7.885878884067517,0.0101333212588869,0.6916876660198684
0,3,2,3,2,0.75,20,1.7504950989372887,8.037519746834311,-0.0619564387596716,0.2622793388868595,1.7913691376270309,7.448957070286817,-0.0329987392111008,0.46766348014828274,2.2347114809494446,8.156784923638382,-0.0238718753188473,0.5237831808706789
0,2,3,3,3,0.25,10,1.6987102638421794,7.678026810945265,-0.0144584729716117,0.0786890432336278,1.767827720770236,7.26947680924906,-0.0081089618079208,-0.22149672881664645,2.234978435590892,8.370693250214511,-0.0507224937338448,0.330863804816688
0,1,3,2,2,0.75,20,1.802239734403343,7.536871686575036,0.0041916327712608,0.3633295527454883,1.8468323080872,7.241119726347193,-0.0041764876898755,0.3994394833194932,2.229479160384825,8.26073374073416,-0.0369199415966028,0.4373286373481685
0,3,3,1,3,0.5,10,1.7431818332528128,7.636932293560924,-0.0090288642479492,0.0795379664089278,1.83477131510401,7.300007925127721,-0.0123429242152448,0.0789708353020862,2.338220610535248,8.581692863103514,-0.0772079989129921,0.1120545542674684
0,2,3,3,2,0.75,20,1.8544555206340736,9.13730850432848,-0.2072659109704784,0.2567555529377698,1.860337697644865,8.222012374126244,-0.1402037004790322,0.4271085296489839,2.293901120356292,7.996542816271045,-0.003757652802109,0.8889287844758273
0,1,3,2,1,0.25,10,1.6936884411407442,7.53715079156731,0.0041547560539435,0.2470232872259678,1.7727075473789908,7.1747875672261685,0.0050222546433958,0.427159022451133,2.239780735076017,8.400081485077257,-0.0544114211020323,0.0505480124396558
0,3,1,2,1,0.75,10,1.8403723841573456,8.904478623226371,-0.1765032877782408,0.0113554678408991,1.8776522721761704,8.127524026738337,-0.1271003434854483,0.027535676111780837,2.346338631958744,8.663455038322837,-0.0874711102314422,0.2647446631868102
0,1,1,2,2,0.25,10,1.698987913672556,7.679114503272904,-0.0146021842043191,0.0113554678408991,1.7678228860432323,7.271302035009048,-0.0083620785719258,0.3355538315485835,2.2355602873179774,8.375494454400073,-0.0513251598552737,0.2647446631868101
0,3,2,2,3,0.5,10,1.717827901390441,8.013977523371835,-0.0588459249971962,0.0113554678408991,1.776246777492727,7.454073092211904,-0.0337082135910071,0.014231756885765353,2.2471737705195536,8.397907463489199,-0.0541385293216083,0.2647446631868103
0,2,1,2,1,0.75,30,1.7225966761255052,7.184261593617773,0.0507802036715185,0.0708906065142954,1.7887608106036528,6.868880939513219,0.0474444565385169,-0.304068935823608,2.266847879557218,8.682391248641721,-0.0898480581774938,-0.333938899368004
0,1,1,2,1,0.75,10,1.7113128510623667,7.40894791222295,0.0210935478050798,0.2087509763190469,1.785500897937559,7.09342418888705,0.0163054807983062,0.5394047536214986,2.240911682998421,8.324852689742048,-0.0449684054434216,-0.0296798424905516
0,2,3,1,2,0.5,10,1.700962085567928,7.601258931427756,-0.0043155250832842,0.1845238206956713,1.7717660429568525,7.220268467874273,-0.0012848985035973,0.3483571691396766,2.233926431779466,8.362118063990035,-0.0496461024739234,-0.0731414827124007
0,1,1,2,2,0.5,30,1.7151954199550137,7.394749317299315,0.022969535644044,0.1845238206956711,1.788266121667878,7.081534599481669,0.0179542929406781,0.3686812980486599,2.2445999352739343,8.345380192459695,-0.0475450986993908,-0.0731414827124005
0,1,2,2,2,0.25,20,1.9089730389726325,7.358372619846489,0.0277758029127566,0.1845238206956712,1.9606546559804847,7.188259037641513,0.0031540720477569,0.49919632849294193,2.3234414106626087,8.728988503388473,-0.0956971297233189,-0.0731414827124006
0,1,2,1,3,0.25,20,1.7748715172331162,8.638868870203895,-0.1414096275069014,0.0943584652671522,1.822779427976975,7.922164812610564,-0.098621751478849,-0.3326684593163193,2.339285611255708,8.350729238171235,-0.0482165320539678,0.4523204324123305
0,2,3,1,3,0.25,10,1.835976801250259,7.759597021894168,-0.0252359283877916,0.4747412445185121,1.9573448983935813,7.727706734979462,-0.0716548959678118,0.7576970571069781,2.2273773086433253,8.020628386718768,-0.0067809687793352,0.4767180908203302
0,3,2,1,2,0.25,20,1.8659399257500864,9.076500080588245,-0.1992316044734767,0.1422884129260675,1.923729368924488,8.399692943563794,-0.164843902117922,-0.08089194445193074,2.342599225511336,8.61935555001951,-0.0819355681995714,0.4318749717273719
0,2,1,2,1,0.5,30,1.7252241004671611,7.508278985662082,0.0079694403278767,0.1148427401202664,1.7906027699103733,7.145069680348438,0.0091434409231728,-0.29041508789605486,2.267086595491324,8.358040923223108,-0.0491343236539527,0.1511601753251461
0,2,2,3,2,0.75,10,1.946550485357987,9.148673968442903,-0.2087675717036365,-0.0588799640812037,1.9672577361940564,8.37446822669775,-0.1613458150067046,-0.42406430885139396,2.201804059701232,7.983977420711096,-0.0021803946990046,0.9024750176273344
0,2,1,1,2,0.5,20,1.83782844451734,7.199032919227722,0.0488285438517488,0.2503617008824897,1.8703263452828496,6.988309805670894,0.0308824241624141,-0.22270085695690334,2.266974437513704,8.254446224096062,-0.0361307076629371,0.3904270599335336
0,3,3,1,3,0.25,30,1.776375036576886,7.41560136636793,0.0202144608862531,0.1379963436348525,1.8600072434322816,7.107182296095223,0.0143975482829392,0.18854844933990536,2.365211675952821,8.972839252738153,-0.126306239362953,-0.1477693256204934
