,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,2,2,1,3,0.75,30,1.1963232901743497,2.8308998613673446,0.0038539859643914,0.4427958647989743,1.2681260747275254,2.987049554949625,0.0150316360253951,0.1747291835958164,1.7491802933814644,4.915459353609764,-0.0181986662469599,-0.2912570987880419
0,1,1,3,1,0.5,30,1.199979770832189,2.863581008183842,-0.0076459595404423,0.3150987572713225,1.2709151543063868,3.019396598866165,0.0043653198696773,0.34107356308825765,1.734350336777241,4.869077115065333,-0.0085909510720176,-0.4580988222542131
0,2,1,3,1,0.75,10,1.1980247271464852,2.854819189757596,-0.0045628231073531,0.3150987572713226,1.2663289178251944,3.0073753482792376,0.0083292820690706,-0.07429496639478156,1.7340787925157162,4.883130353311963,-0.0115019686208988,-0.4580988222542129
0,2,2,2,2,0.5,20,1.2547283767920496,2.867499140812609,-0.0090246844659944,0.2635522548221338,1.2956233591187518,2.968941486557924,0.0210027035187216,0.5478812869546215,1.7223859782937931,4.751940401237332,0.0156729960401958,0.4250539427819416
0,3,2,3,1,0.25,10,1.1958391580751138,2.867050068696451,-0.0088666635466994,0.0172288590540026,1.2675846199687577,3.02158951562795,0.0036422138095154,-0.24731608570973654,1.7578652526347165,4.844374058174661,-0.0034739075225,0.2672402488891506
0,2,2,2,2,0.75,10,1.2032855659135655,2.8753630159736647,-0.0117918497774427,0.441668461785732,1.278677039252668,3.036677054231033,-0.0013328453386185,0.7396948521375486,1.7344249768558346,4.848104537950021,-0.0042466470079651,-0.0251455842084598
0,1,1,1,1,0.25,10,1.194745548628166,2.8371705866070167,0.0016474232958006,0.441668461785732,1.2702005332178412,2.998486326432632,0.0112604036137659,0.5131668353706424,1.735503665475453,4.872183065640905,-0.0092343242556762,-0.0251455842084599
0,2,2,1,3,0.25,20,1.1950672552606143,2.796866238417884,0.0158298450567442,0.3462978891062858,1.2718938866082434,2.9774517563130205,0.0181964740526684,0.34827288156231895,1.7289886264791623,4.733213016205769,0.0195522262585124,0.4577040757872132
0,1,2,3,3,0.75,30,1.3092154517066277,3.178779937336279,-0.1185591575621609,0.105098741339964,1.3054678142865592,3.1030033748576464,-0.0232037002790055,-0.10747326422241449,1.796003145687661,5.070555426800554,-0.0503255954925516,-0.1157447092787022
0,1,3,3,1,0.25,30,1.2359042657820254,2.9522885361405926,-0.038860645582494,0.1050987413399641,1.2835523574700227,3.0343982434837864,-0.0005814160595816,-0.2475574939690704,1.7546773566595295,4.898013022526035,-0.0145847962579199,-0.1157447092787022
0,3,1,2,3,0.75,20,1.2236280363560668,2.925790408304636,-0.0295364003898561,0.2511834698191736,1.2608484303318253,3.021761197883306,0.0035856022310765,-0.10798445246933674,1.710235731174838,4.769817367817393,0.0119699233019393,0.3367664299037554
0,2,1,3,2,0.5,30,1.254208383740857,2.8527332964035086,-0.003828832343945,0.3239255995992243,1.3151893640652608,3.015617035697796,0.0056116166190293,0.5703409645537652,1.723288575414614,4.744419154114275,0.0172309631066077,0.5466113718479171
0,3,1,3,1,0.5,20,1.21176660037599,2.8895066218065213,-0.0167687466174764,0.1898859724437548,1.2784586554582318,3.062836173154399,-0.0099587164850381,0.1060196500744667,1.7488766141485648,4.980538170815784,-0.0316792303434643,0.0816319143119401
0,3,3,1,1,0.5,30,1.3057178043287552,2.993347630329813,-0.0533086497576573,0.3830938158608659,1.3477628457329554,3.162056198040377,-0.0426761467745766,0.2171137275126166,1.824815947743444,4.935634827706231,-0.0223778567026466,0.4271379487341724
0,3,3,2,3,0.25,10,1.2028114200808189,2.8011127126190094,0.0143355822582315,0.2464616051132451,1.256949446614431,2.980369777043983,0.01723426768396,-0.22093399334775243,1.7522483876403758,4.815743955806791,0.0024565925484794,0.2732872417306965
0,2,1,3,1,0.75,20,1.198821765285388,2.783356899527107,0.020583554035275,0.2185394786957754,1.2677588573005356,3.057051062024865,-0.0080510978333065,-0.017001843943538597,1.7556817670371834,4.766525729583215,0.0126517602206692,0.5624748096813653
0,1,1,3,3,0.5,20,1.1984391028456778,2.8506332971093693,-0.0030898779376509,0.1313067202672959,1.2731554354355,3.0143732019808915,0.0060217661122528,-0.2629978454567679,1.742762589840651,4.815934790461859,0.0024170626536544,0.3558053991425715
0,3,2,1,1,0.25,10,1.2350333299340637,2.881025541447036,-0.0137843971849478,0.1860474391837661,1.3431093798996907,3.155754112787569,-0.0405980578487328,0.40090694215772693,1.695710908579235,4.675509379600029,0.0315050798176446,0.7411851418327243
0,3,3,1,3,0.25,30,1.2376129881115925,2.909928745284056,-0.0239549481422673,0.1693790856412986,1.274997114531094,3.05100648074372,-0.0060579198742949,0.010590918090718993,1.7879037780637257,4.822921623209913,0.0009697953132918,0.4645627233418189
