,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,1,1,2,1,0.25,10,1.639143928987136,5.658667741666668,0.0288924640856873,0.6564004551709905,1.5196643886735348,4.767394322185429,0.0543303349651491,0.3477191478513709,2.214409520197916,9.41033692581318,-0.0071636166695618,0.1163524187943189
0,2,3,3,3,0.5,20,1.7165809578111737,5.319838583853903,0.0870403468667609,0.6508212023733206,1.5511364836027666,4.274118509635307,0.1521774902242153,0.3015605859178804,2.240184394644124,9.076930862595177,0.0285199575847349,0.5567872619584717
0,2,1,2,3,0.5,20,1.707084822992005,5.423132474586967,0.0693136521244321,0.8452056251658558,1.686891340147893,5.12234937785184,-0.0160792443374093,0.8904913273440589,2.1942237335160244,9.098775053940274,0.0261820312244148,0.4979929382296918
0,2,3,1,2,0.25,30,1.5959165566048323,5.49467703016554,0.0570355930038363,0.6690028637191996,1.5093261001016225,4.655948699722662,0.0764369066773991,0.684728185779709,2.22082007962703,9.011068472048432,0.0355690360596619,0.3136093674108088
0,1,2,2,1,0.25,10,1.6602318428619804,5.543222916117419,0.0487044313527685,0.4971921216514244,1.5542043078570462,4.66302578807553,0.07503308158558,0.23953085666695495,2.1851912202084924,8.561794411004422,0.0836536574461386,0.3496508316689738
0,2,1,1,3,0.5,20,1.7343730442422982,5.380920703221251,0.0765577899937931,0.5726321853216456,1.5744632040996345,4.409300713332663,0.1253624838182526,0.1099165938999273,2.2624068312155394,9.088697337091212,0.0272606227593928,0.4519916650286788
0,3,2,1,1,0.5,10,1.673129584761526,5.897498780456225,-0.0120943250609875,0.5815342824195399,1.5436633105762538,5.003310362492081,0.0075335676461688,0.26507323909342506,2.205160996943144,9.457127450588114,-0.0121714835004425,-0.0335211369285364
0,1,3,2,3,0.5,10,1.715871232062593,5.296747235155846,0.0910031493776757,0.6015133002045101,1.6311228154467463,4.635203732000888,0.0805519190616936,0.6164030127220512,2.125113694979792,8.375953104078102,0.1035437638563654,0.4226703601673283
0,3,1,2,3,0.75,20,1.5240621289919185,4.912283455846114,0.1569825795931368,0.7003100758858282,1.4944941167379968,4.355444182335333,0.1360455706758209,0.24398622075319648,2.0881811144081146,8.489636281368025,0.0913765523211725,0.586063975172761
0,3,2,3,2,0.75,30,1.6173005799138842,5.223354304275024,0.1035984158812028,0.657166116201657,1.523878071294528,4.573980941172518,0.0926961916312474,0.680448798548878,2.175985240500641,8.89080717082948,0.0484402869017887,0.4831457439307418
