,Y
1998-09-22,0.0003356992987813001
1998-11-10,2.0775078324319907e-07
1998-12-15,3.4627314349222615e-07
1999-01-26,0.00017349679746203606
1999-03-23,0.00017349679746203606
1999-05-11,3.4625857736614307e-07
1999-06-22,6.925026108106636e-08
1999-08-17,1.385005221621327e-07
1999-09-28,0.0026317867018010865
1999-11-09,4.847809376151702e-07
1999-12-14,1.3850416369365348e-07
2000-01-25,0.0026319252059425757
2000-03-14,-0.0026315096971152308
2000-05-09,0.0
2000-06-20,1.3850780522517425e-07
2000-08-15,6.925390261258713e-08
2000-09-26,6.925390261258713e-08
2000-11-08,1.3850780522517425e-07
2000-12-12,0.0
2001-01-23,2.7699372795453314e-07
2001-03-13,-0.0026315096971152308
2001-05-08,2.0775078324319907e-07
2001-06-19,1.8003244228737003e-06
2001-08-14,6.925026108106636e-08
2001-09-25,1.385005221621327e-07
2001-10-30,2.0775078324319907e-07
2001-12-04,1.385005221621327e-07
2002-01-22,6.925026108106636e-08
2002-03-12,-0.0026315096971152308
2002-04-30,-0.0026313712002457024
2002-06-18,0.0
2002-08-06,0.0
2002-09-17,6.925026108106636e-08
2002-10-30,1.4815313575944344e-05
2002-12-03,0.0
2003-01-21,0.0
2003-03-11,0.0
2003-04-29,6.925026108106636e-08
2003-06-17,0.0
2003-08-05,0.0
2003-09-08,0.0
2003-09-09,0.0
2003-10-21,0.0
2003-12-02,0.0
2004-01-20,0.0
2004-03-09,0.0
2004-04-27,0.0
2004-06-22,0.0
2004-08-03,0.0
2004-09-14,0.0
2004-11-03,0.0
2004-12-07,0.0
2005-01-25,0.0
2005-03-15,0.0
2005-04-26,0.0
2005-06-22,0.0
2005-08-02,0.5120675172210487
2005-09-13,0.04801999329040463
2005-10-25,0.07415864785631499
2005-12-06,-0.02070629365275023
2006-01-24,-0.3736744279955406
2006-03-20,-0.4466128933953595
2006-05-03,-0.8830898775516349
2006-06-21,-0.4311443484599331
2006-08-01,0.2875298228962708
2006-09-13,0.2592290277960152
2006-10-17,-0.625616354661751
2006-12-05,0.559298676407749
2007-01-23,-0.15707285046231423
2007-03-13,-1.6351361826586475
2007-05-02,-0.6204141293604692
2007-06-20,0.4879816431584638
2007-07-31,0.6956691365265888
2007-09-11,-2.2204833527247447
2007-10-23,-1.0542484611506975
2007-12-04,0.31942521776310295
2008-01-22,-2.048729572036423
2008-03-11,-0.08985196786883698
2008-04-22,0.41617537352202083
2008-06-17,0.7094109542347238
2008-07-29,1.8852759269696762
2008-09-09,-1.1105945416638119
2008-10-21,0.032905807013816624
2008-12-08,-4.319033226859148
2009-01-21,0.2847262053211841
2009-03-10,-1.8181750660809737
2009-04-21,-3.7352518349817343
2009-06-16,-0.13741796422467312
2009-08-04,1.2303628642597486
2009-09-15,-0.4823205262923125
2009-10-27,-0.5080365356179728
2009-12-08,1.144231864805556
