,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,1,3,2,2,0.5,20,0.8007274261503934,1.5051336066399776,-0.0144620742929297,0.018179609755684,0.8713092337728144,1.6197109393192668,-0.0064905470312977,-0.04712071058520256,0.3867163853689368,0.6627037941997671,-0.0279275341565707,0.2146799132150583
0,2,3,1,2,0.25,10,0.8140987116671542,1.5193519754923674,-0.0240452740138217,0.2791543480215128,0.8938295021186543,1.628889035339925,-0.0121938281910956,0.4255946824966757,0.4158244009435563,0.6446114862984886,0.0001356542708015,0.3787075705677363
0,3,1,2,3,0.75,20,0.8115243192259174,1.587770547658145,-0.0701594836316641,0.4161512421881844,0.9033681815132276,1.712417616849088,-0.064098600613784,0.015223796072774187,0.4922019600505343,0.6220524526182388,0.0351272328114007,0.9646474876498696
0,2,3,2,2,0.5,10,0.7930274183001711,1.4933168404467263,-0.0064975579928778,0.4309661239053191,0.8678624199084954,1.6295386418345006,-0.0125974945368665,0.7142894670428445,0.3699791614355084,0.6548752840290923,-0.0157846413192384,0.6328503725715654
0,1,2,2,3,0.25,30,0.8178764032554728,1.5313461449102763,-0.0321293603257839,0.2767652874276196,0.8812542759294638,1.6510998730920103,-0.0259956725180314,0.4124332188697149,0.4187828693976735,0.6133426797849549,0.048637062376195,0.8261745368981209
0,2,3,1,3,0.75,20,0.79157568818445,1.4602075197904176,0.0158181686397964,0.3174305689610888,0.8637656432140441,1.599774172180465,0.0058981867707976,0.6505145249024477,0.4081652963241658,0.6853380168647051,-0.06303573920256,0.0179614478698807
0,3,3,3,2,0.75,10,0.7946339183522656,1.4728091740879952,0.0073246367022687,0.1691329523909435,0.8787281855568583,1.6057687995562164,0.0021731172906813,0.39983539820066627,0.4088108303826013,0.6691208186158015,-0.037881055084517,0.0385473712875658
0,3,3,1,3,0.75,20,0.8328592977672252,1.573551732876246,-0.0605759833536836,-0.1567963520264182,0.8881719610023442,1.642089339781453,-0.0203965150507132,-0.41376290915857283,0.4404225331172729,0.6702920835824765,-0.0396978177461704,0.3369378254338931
0,3,2,2,2,0.25,30,0.8596092468600579,1.6699376428581154,-0.1255402162572994,0.0338875931898735,0.9130485929612188,1.7116440434713014,-0.0636179010807522,-0.08988568958215659,0.4565194494875952,0.6344542456299043,0.0158906679672304,0.7281264503445737
0,2,3,1,3,0.75,10,0.7971874507224596,1.484750920649338,-0.0007241165338935,-0.0160780468018395,0.8694649934298454,1.6078333590770342,0.0008901972393048,0.04843198181397118,0.3748352446866833,0.6801936967763885,-0.0550563247045929,-0.3189373616315233
0,1,2,3,2,0.25,30,0.8061280510607465,1.5006587664771047,-0.0114460260074282,-0.0254521330833399,0.8727805891151255,1.6197288930005709,-0.006501703472906,-0.017551532792832135,0.3828976748146357,0.6996712265245794,-0.0852681467897455,-0.5982891003561454
0,1,3,3,3,0.25,10,0.8252828910033856,1.5361692505819249,-0.0353801400323892,0.2196109964478445,0.8979879458322281,1.62830793013911,-0.0118327286410135,0.15897877391079035,0.418328107467554,0.594253126000288,0.078247090448717,0.6214238792544419
0,1,3,2,1,0.5,10,0.798948210648512,1.490466578719097,-0.0045764777567227,0.3140653921989795,0.8734681662169548,1.6269280910015214,-0.0109752947528467,-0.1231932325676065,0.3448153807223624,0.6670631084076805,-0.0346893169373152,0.0544798132442911
0,2,2,3,3,0.75,20,0.7946733345455234,1.4752190811329065,0.005700356114254,0.4304281739082125,0.8711719552378296,1.616655631915899,-0.0045919749187595,0.09985618839748156,0.3535375083000982,0.6653432281824817,-0.0320215907911749,0.3615467989135985
0,2,1,2,2,0.25,10,0.8068997126411901,1.5088527617159535,-0.0169687898139618,0.4469655448175829,0.8795657582374373,1.665343345433263,-0.0348465853076909,0.7101487706290189,0.4186750879905785,0.6318169008194277,0.0199814840625682,0.7219865826385746
0,2,3,2,2,0.25,20,0.8049743276425,1.4753560151562422,0.0056080623984392,0.0816426158110187,0.8757232380772663,1.610617652054072,-0.0008399661457321,-0.31266845439016966,0.3792202026912981,0.6903652416167484,-0.0708335257676102,-0.5655764639348863
0,2,2,3,1,0.75,10,0.8267157700632357,1.5805448230527055,-0.0652893355337373,0.0402955496198143,0.8958762804281027,1.6671617436300843,-0.0359765403826433,0.34095712251679144,0.4154771214313955,0.6130634894953833,0.0490701176694221,0.8025150240499248
0,3,2,3,3,0.75,30,0.808489912476031,1.5854698714195103,-0.0686088247539238,0.0454330740422477,0.8893242044672676,1.6674509042688366,-0.0361562251908473,-0.4240362501446526,0.414142312240249,0.6166981053782122,0.0434324228580409,0.6990099655224717
0,2,1,1,2,0.75,20,0.8353374809075176,1.624660003648715,-0.0950230265614333,0.1346436249090435,0.905804094651645,1.715857636224197,-0.066236233260821,-0.16824445695624865,0.4789831849464572,0.631928879035509,0.019807793354075,0.8127660523429572
0,3,2,1,1,0.5,10,0.8502449090268088,1.6416659464643075,-0.106485054880983,0.0634380746143779,0.9151123293090516,1.7143712157216875,-0.0653125695697443,0.2299204718451755,0.4585914285356099,0.611584223788056,0.0513646238488101,0.7765119016649328
0,3,3,1,1,0.5,30,0.8443208168497948,1.7109141289384535,-0.1531584229619476,0.1079771992268751,0.9058944905671278,1.7374742459320296,-0.079668823485187,-0.35434241952865075,0.4887048562596072,0.631450234404084,0.0205502245880958,0.8167744436533909
0,1,1,2,2,0.5,20,0.8715480110283728,1.6992974922010275,-0.1453287941841645,0.0711921251675288,0.93308242388775,1.760499149334556,-0.0939765292976149,-0.010262949120578915,0.4808399475154342,0.6091042807127272,0.0552112922888932,0.7962358258778265
0,2,2,1,2,0.5,30,0.8215590181080271,1.646044122095972,-0.1094359511424996,0.1881978000158864,0.8891050838235364,1.7415178744246265,-0.0821815396462666,0.22670772832397648,0.5021689574623657,0.6425176699211067,0.0033833971155181,0.7123417643313051
0,3,2,2,1,0.25,10,0.7918014393498249,1.4882215714597222,-0.0030633398458417,0.2393000407106582,0.8701849352366311,1.6229809011666878,-0.0085225057028648,0.46372850589355036,0.3662010764202169,0.6551217617837897,-0.0161669558205705,0.5732685580932917
0,2,1,2,3,0.5,30,0.8043960903300547,1.497291814063899,-0.0091766955545848,0.0006326753589701,0.8749566699186715,1.6172860931462725,-0.0049837443717135,0.06230052054938501,0.3928010881999673,0.6356360376976565,0.0140575765971149,0.8631557644388038
0,3,3,1,1,0.5,20,0.84805441476164,1.6258143893597603,-0.0958010840825698,-0.0447716167011682,0.9077001524845908,1.6974643437865162,-0.0548066167052345,-0.535681214861619,0.5146324003528392,0.6376373620132799,0.0109532992611289,0.59913415439506
