,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,1,2,3,2,0.75,30,1.972955237510508,7.797945659792452,0.0080187487968031,0.3991382341812398,2.01660374573912,7.647424634913158,0.0306647549673302,0.13081927401366777,1.9764961501004168,7.03690274722933,0.0251598293204023,0.6977529494933283
0,1,3,2,2,0.25,10,2.009361251481133,8.037218964758809,-0.022419348978601,-0.0529652784328642,2.029449301900779,7.748289412721484,0.0178798255591163,-0.564319971632356,1.9763586304268177,7.074984910960461,0.0198842095875418,0.3428271549875881
0,1,2,2,3,0.75,20,2.0258009286495064,8.086080970464106,-0.02863511344664,0.2117639985789043,2.047364556909141,7.873861190455278,0.001963205814598,-0.047215964368426816,2.002151527667222,7.435650487895216,-0.030079717044209,0.1515269153407972
0,2,1,1,3,0.25,30,2.0053796945168463,7.947428540316023,-0.0109970563042516,0.0727205437641322,2.0442645120020075,7.93378903976944,-0.0056328385104447,0.08384488714089725,2.024385571399512,7.248333041017876,-0.0041301510995794,0.0300594497981919
0,1,2,2,1,0.25,20,2.010663309241697,7.991843921498452,-0.0166471630529032,0.0727205437641323,2.0349988665082623,7.902837731634069,-0.0017096623710537,0.256321504342252,2.0308351824939264,7.305055594316034,-0.0119880717679203,0.030059449798192
0,2,3,3,3,0.25,10,2.0835792251003507,8.358078865597024,-0.0632361255734377,-0.1327065154451038,2.021891000889711,7.733502827123056,0.0197540720222738,-0.5344416564486791,2.118317218884637,7.626660799319725,-0.0565408649780705,0.1379769486791392
0,2,3,2,2,0.75,30,2.012328948788141,7.933032962410421,-0.0091657863768113,0.0123940379997639,2.0430545312939863,7.8188342135585085,0.0089380490696886,0.07104857861653491,2.033656834189064,7.191310240637614,0.0037693635664729,0.0536152052447354
0,3,2,3,1,0.75,10,2.0137524771938087,7.97189648194587,-0.0141096375418321,-0.1965291711780904,2.0481360246546454,7.906898429221069,-0.0022243686255656,-0.2076849543108735,2.017002627152954,7.152607866439048,0.0091309026447685,0.3429315835365779
0,1,3,1,1,0.25,20,2.009125588496821,7.941336151078442,-0.0102220398880852,-0.0427045104818937,2.048565365382882,7.934671069017379,-0.0057446385056056,-0.25027481041923905,2.033215294772998,7.2512656906216675,-0.0045364185645417,-0.1879811046577407
0,2,3,1,2,0.75,20,2.067008410773629,8.090839408135501,-0.029240437099943,0.1440492959323546,2.00165408241156,7.634830221174938,0.0322611367180237,-0.058649461350049115,2.076629887764779,7.822174214636824,-0.0836258394340434,0.0723738470867239
0,3,1,2,1,0.25,30,2.240244751086776,9.104225537264549,-0.1581538822793173,-0.29299711483537,2.181276359565963,8.396778539902712,-0.0643182211045205,-0.7494282112362304,2.1021337945983,7.41831601760375,-0.0276783284525836,0.2797297864328957
0,2,3,3,3,0.25,30,2.1377014421477503,8.867843572349436,-0.1280835935714319,-0.086517283885446,2.1095526011721053,8.22843310805165,-0.0429799054984414,-0.571586051844452,2.024021519977152,7.149074167335555,0.0096204350372032,0.3080496640653588
0,3,2,2,1,0.25,30,1.991568579523441,7.990733937812391,-0.0165059613757243,0.0071122221857815,2.0017933191698507,7.822298843321642,0.0084988962959479,0.26277732351845845,2.057494093302275,7.468656452971238,-0.0346521179688661,-0.0957077749920775
0,3,1,3,3,0.5,20,2.074090659354956,8.103026658189187,-0.0307907843432326,0.1933494119290507,2.0600181698546325,8.056183961300883,-0.0211467816896682,0.3751005069332784,2.1133940590096203,7.702349973936318,-0.0670262803024315,0.2716724804566463
0,3,3,3,1,0.25,30,1.959967468529513,7.717528726221286,0.018248634187409,0.2506572537702126,1.9709061001248207,7.633132738593167,0.0324762980007945,0.2965605828385061,2.0116830113288127,7.262327074993808,-0.0060687804880508,0.1404379136875882
0,3,3,3,1,0.5,20,1.996318873863693,7.887935730066348,-0.0034289409410783,0.2506572537702126,2.0370698756605155,7.8963465274408,-0.0008868817216685,0.17017539629623862,2.0175664238484665,7.22202074003191,-0.0004850406148237,0.1404379136875882
0,2,2,2,2,0.5,10,2.075145231279467,8.329269324259773,-0.0595712468849811,-0.1033626397941527,2.0624312667845963,7.96625262443614,-0.0097477004802994,-0.1628216886825445,1.9918526998634287,7.090428681676217,0.0177447444533374,0.4096870915465549
0,3,3,1,1,0.75,30,1.9675085518412827,7.860905819844001,9.549827141297484e-06,0.1550798471857619,2.0035315720787183,7.776521070049402,0.014301373756048,-0.18861210938605671,1.969858214262063,7.10461956153878,0.0157788454997442,0.3016386667548211
0,3,1,2,3,0.75,10,2.018528114964494,7.939543488008407,-0.0099939941651756,0.2621685974859545,2.070796869735635,7.91769070940213,-0.0035923242515696,-0.11282884271238885,2.039816965724821,7.369954086946399,-0.0209786262640079,0.1050982202360844
0,1,3,1,3,0.25,20,2.0587414521802594,8.231332962075948,-0.047112704682215,-0.0295985152876321,2.075516191758016,7.946236854792785,-0.0072106384106476,-0.08239618819800246,1.9792721386090524,7.000578698689663,0.0301918928503588,0.5007593924112993
0,1,1,3,3,0.75,30,2.065103403247502,8.313020141266097,-0.057504178764693,-0.2040667222522566,2.0577670592582167,7.979645992787007,-0.0114453522535422,-0.13421495581293028,1.9775567914319228,6.960636335072928,0.0357252108404101,0.4298960249444304
0,1,3,1,1,0.25,30,1.9967957472580624,7.856523466568872,0.0005670315633237,0.1292323409144054,2.023498732860416,7.786535904553051,0.013031961827065,0.017961415306599476,2.0469285633481302,7.315425775956802,-0.0134246796057431,-0.1368125492124093
0,1,3,3,2,0.75,20,1.9786997682372296,7.845026410990627,0.0020295787616794,0.4244301584872964,2.0435206654951856,7.853363608130833,0.0045613391645279,0.14939517427437743,2.002641819460656,7.238827550477545,-0.0028133311357994,0.2806007972217154
0,1,2,1,1,0.5,20,2.036315383350752,8.078549931685647,-0.0276770855767056,-0.1751571932351145,2.047278095825103,7.846186948365124,0.0054710034743599,-0.49250077032630357,1.9827338702987989,6.955962174708655,0.0363727342539011,0.3979000441864242
0,1,2,2,2,0.75,30,2.005095999543261,7.936229643148206,-0.009572438012551,-0.0426841201212586,2.049677280723728,7.952470981289091,-0.0080008336493522,0.21123748164519024,2.0247723198967864,7.238308157709343,-0.0027413783245995,-0.1823823334753548
0,1,3,2,2,0.5,30,2.008236085277692,7.947561017400707,-0.0110139087920675,-0.0426841201212585,2.04724544391376,7.93807987340954,-0.0061767152371183,-0.24494267222025473,2.034036086639869,7.258318216223624,-0.0055134230093225,-0.1823823334753549
0,2,3,2,3,0.25,20,2.0139405642596526,7.97299133212989,-0.0142489140773207,-0.0426841201212586,2.0436550345401856,7.921019867203257,-0.0040143055259158,-0.10218012566058471,2.0514843017932707,7.306949320961251,-0.0122504145730373,-0.1823823334753548
0,2,3,3,2,0.25,20,2.0261422411090475,8.040498233993986,-0.0228365067456417,-0.2672322719213762,2.050322515841454,7.895949578852699,-0.0008365672334214,0.062217991205027356,2.0016637234195342,7.064729796189968,0.0213048769169492,0.3929576603040564
0,2,2,3,2,0.25,30,2.147309778060208,8.83746651085647,-0.1242193097225403,0.0639782460665377,2.1868655898562737,8.394742178223177,-0.0640601058249534,0.2898612884314723,2.015065379356334,7.24301463943419,-0.0033933792989992,0.643054802824977
0,2,2,3,2,0.5,30,2.0239681479301272,7.988781882556505,-0.0162576392791578,-0.146793137258918,2.045521698581322,7.8349461631714625,0.0068958085283793,-0.19429988398907408,1.987444895809724,6.972215817229122,0.0341210755031737,0.4535238734929393
0,3,2,3,3,0.25,30,2.068479333047086,8.341829602305154,-0.0611690472383692,-0.2098120128140082,2.0631780340442187,8.017358145073992,-0.0162254867593369,-0.627721853388995,1.980263659872613,6.964246732557652,0.0352250532246727,0.4203017199723419
0,3,1,3,1,0.25,30,2.0384749180444666,8.10582819654563,-0.0311471696843677,-0.2098120128140082,2.0521500847214384,7.885807588524771,0.0004489620982124,-0.17770588731801507,1.9796253398547257,6.948095759136399,0.0374624889619813,0.4203017199723419
0,1,1,1,3,0.5,10,2.0701974745836207,8.356019676890579,-0.06297417496765,-0.2098120128140081,2.063881057696715,8.028763532407357,-0.0176711556548507,-0.020327386657677443,1.9810919838738124,6.971549676665452,0.0342133576625428,0.4203017199723419
0,1,3,1,3,0.5,10,2.0543366799928253,8.224319194285055,-0.0462204791586733,-0.2098120128140082,2.0577956327892206,7.935629885605843,-0.0058661715388934,-0.00651391872110163,1.975149066159612,6.926813277513515,0.0404108056807118,0.4203017199723419
