,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,2,3,1,3,0.5,20,3.7008572448368464,35.700935351526724,-0.059953695721385,-0.0482145078653578,3.093055021503007,26.282357175255328,-0.033831892110391,0.05719248388043591,0.9209529065226256,3.2255849541595314,0.0747487105792935,0.5187986254786885
0,2,3,2,1,0.5,30,3.5806035032422336,34.82799252255734,-0.0340361961206352,0.1101285380698507,3.051801100480291,25.90625103488059,-0.0190375370932529,-0.19409213461940153,0.9952933610350884,3.2403031485157774,0.070526831912449,0.5980336564881774
0,1,3,2,1,0.25,10,3.6796079034951887,35.33129836352635,-0.0489792467987306,-0.0569020992892485,3.105883893010192,26.256440474534543,-0.0328124435287906,-0.44018433894848275,0.9051115001678096,3.376544124879676,0.031446435381557,0.6258771976583724
0,1,3,3,2,0.75,30,3.672688885430846,35.01634868682376,-0.0396284533111059,0.0087005465278537,3.119509658251564,26.233891740545825,-0.031925475888529,-0.3738329988674386,0.9143538616664832,3.4327278931230487,0.0153302565332339,0.6193147539370141
0,2,1,1,3,0.5,30,3.6163459476314337,34.41761936157635,-0.0218522982948865,0.4101587880217752,3.110327973723159,25.86526275210405,-0.0174252390160805,0.5282435104450611,1.0787474245554831,3.530402407575852,-0.0126874431167027,0.3255337808515728
0,2,3,3,3,0.25,30,3.657387064007371,35.055811677775395,-0.0408001016920667,0.0306141635739155,3.099022579298104,26.265402624589232,-0.0331649749431777,-0.1489956404106738,0.934448157573564,3.451239042380976,0.0100203778715451,0.5578338031662856
0,1,2,2,3,0.25,20,3.625262540919577,35.15935114495449,-0.0438741679541658,-0.0131152321310944,3.0763889522844194,26.18697211833424,-0.0300798651054223,-0.46158271503151216,0.9803542101739748,3.4605686445958943,0.0073442039056406,0.1375770400759711
0,3,1,3,1,0.5,20,3.672424718395579,35.83052052492268,-0.0638010538395768,-0.0201049843567758,3.1263443657137784,26.648001621016284,-0.0482147302508224,0.16489104003785657,0.9515974015265424,3.1195624805495226,0.1051610022440139,0.6522643648739631
0,3,2,3,3,0.5,20,3.6312563226100623,35.30399496717712,-0.0481686143718445,-0.0414601685761587,3.1036795428691533,26.201246212497253,-0.0306413449482807,-0.12420112370734293,0.989758428896934,3.313656882842967,0.0494854895715707,0.4574427907893188
0,1,1,3,3,0.25,20,3.6548834635536016,34.976229840668644,-0.0384373327191247,0.014175482748277,3.111792877718471,26.229054565404063,-0.031735202775051,-0.4979366235935924,0.959786625154133,3.57409063869717,-0.0252193071822834,-0.6681334780649131
0,2,3,2,2,0.25,20,3.7710623043354814,35.9046210886802,-0.0660010848930059,-0.0891319501631866,3.166025443536935,26.404166395572968,-0.0386233290381274,-0.09968335014213799,0.9618456671461212,3.368364433723261,0.0337927601248494,0.5799203738596873
0,2,3,1,1,0.5,20,3.632091828343699,34.615205526243166,-0.0277185923681326,0.1330655926869586,3.08109087551021,25.634545498536816,-0.0083498408998683,0.3470691251365162,0.954610364741953,3.1871507114976527,0.085773480686481,0.6267487515206142
0,1,1,1,3,0.25,30,3.659647546164647,34.896272745105826,-0.0360634223969871,-0.0052875383515814,3.1221959420436933,25.956397245487285,-0.0210100676181212,0.1277975484429375,1.063716818144158,3.353739150152264,0.0379879875563137,0.6063355750926185
0,3,1,3,2,0.25,30,3.6960476022288544,35.03079444296062,-0.0400573449480894,-0.036191826424806,3.097542968830917,25.889994629951456,-0.0183980818969502,-0.24317640286140862,0.9745556648955006,3.172862643622303,0.0898719786063544,0.5293346929588781
0,2,3,2,1,0.25,20,3.635935401245399,34.819435386513874,-0.0337821364472752,0.5789702578106112,3.108034006854673,26.196005953513325,-0.0304352162961065,0.11699682403001943,0.9731278432016788,3.5308677120825656,-0.0128209145958078,-0.2530900558670519
0,1,3,3,2,0.5,10,3.622747976257568,34.610447481085004,-0.0275773269502901,0.0462179430797363,3.0900004793946945,25.765718185920413,-0.0135095952813613,-0.24837119083739712,0.923420184271556,3.262401804844413,0.0641878854723099,0.5949736580439432
0,3,1,1,3,0.25,30,3.658115515095561,34.575832359203574,-0.0265496108413199,0.195561151716293,3.0913144823878524,25.79399515749538,-0.0146218864975398,-0.31084954462815334,0.9456019675453652,3.4427976986175675,0.0124417570361105,0.1996121060658068
0,2,3,1,2,0.75,20,3.5860608944661005,34.642374163588514,-0.0285252238268987,0.1848028790900234,3.09722132067475,25.901913933533965,-0.0188669346750012,0.05145530443013352,0.9797186706728996,3.074796344284335,0.1180020608087047,0.62582974912776
0,1,3,3,3,0.75,30,3.6296445274643534,35.06828971456718,-0.0411705721316384,0.0046650142244578,3.085114442092383,26.061408067464026,-0.0251407297216899,0.10997894898124465,1.0164416836439274,3.207971073825329,0.0798012098073502,0.4920095665170618
0,1,2,1,1,0.5,10,3.667400238716464,34.90129767452593,-0.036212611555678,0.4433237954491503,3.11928760027922,26.179463977114075,-0.0297845279789952,0.3113838524982438,0.94430654127844,3.505840521657169,-0.0056419251905484,-0.3336590165266392
0,2,1,3,3,0.5,30,3.67777958183722,34.98586756348554,-0.0387234747996478,0.442577949941754,3.144730346645769,26.236551913873527,-0.0320301153623165,0.17584416353287147,1.073740022727331,3.5156689671820773,-0.0084611911606464,0.5299840030735887
0,3,1,2,2,0.25,10,3.6098395512574553,34.658041227920776,-0.0289903758621767,0.3671052919033203,3.11064075026372,26.019107716946785,-0.0234768206925051,0.3429230140247686,0.9826985763588344,3.236517230768176,0.0716128133165636,0.6243793090504605
0,1,3,3,1,0.25,30,3.6228061438820673,34.62098426728621,-0.0278901620445257,0.0185012280359097,3.0918256313558774,25.912231932376223,-0.0192727991944869,-0.4187540361150447,0.9496893096650014,3.2903356515796216,0.0561751286925195,0.6262924327925039
0,1,3,3,3,0.5,30,3.610552549524845,34.62827165469867,-0.028106523132658,0.0568511783693832,3.0745692021362934,25.674307461001348,-0.0099139009502899,0.3250982621833998,1.021960446041235,3.1508595757504394,0.096183505727474,0.641693797123303
0,3,2,1,1,0.5,30,3.676010942955605,35.17867024362106,-0.0444477481651044,-0.0187600779121487,3.092511973970724,26.108465795932112,-0.0269917729951747,0.12424301128909401,0.953081492919138,3.224580145564932,0.0750369375089781,0.6424360602703629
0,2,3,1,1,0.5,10,3.7696667419113257,35.720274692069125,-0.0605278769096055,-0.1958918323667202,3.138742708641965,26.04858184596838,-0.0246362027970672,-0.02059918159598656,0.9883998355738048,3.393317773304603,0.0266349546566609,0.1551695253504148
0,3,2,1,3,0.25,20,3.612074472505433,34.356412329396,-0.0200350736388685,0.1286768065864492,3.112191492632371,25.788884572293565,-0.0144208586394312,0.07887384336355757,0.9729864084284352,3.2398190660255173,0.0706656898109896,0.682959416453996
0,2,1,1,2,0.75,10,3.6584283213393776,35.57329923229915,-0.0561642046352075,-0.0479854604753525,3.117455225682671,26.371850787429224,-0.0373521756903068,0.064960541499486,1.0074462119305436,3.2290149660021297,0.07376481992839,0.498581039938708
0,1,3,2,3,0.25,30,3.6374977326958793,35.2742733251187,-0.047286184709077,-0.0308683514807694,3.074580437235259,26.023586942967267,-0.0236530136679322,-0.07415557743456737,0.9475877210915532,3.3511476591173306,0.0387313505294396,0.5447267501812246
0,1,1,2,3,0.5,30,3.688727827682704,34.89788496837765,-0.0361112889864327,0.1922263702430404,3.1280148412636337,26.04298394397569,-0.024416006047957,0.418185254881889,0.8969634169068682,3.32581546201084,0.0459978303678997,0.4948382595347505
0,1,3,1,2,0.5,20,3.6253547512119058,34.5488509449689,-0.0257485379996078,0.1373130428163426,3.085072253624788,25.90913468800841,-0.0191509672756924,0.07671848394557917,1.0391481629028756,3.350278557539403,0.0389806502276472,0.5673880597623541
0,3,3,1,2,0.5,10,3.619941122859459,34.41408672637558,-0.0217474150558392,0.0246070438410132,3.096244455224675,25.670774766595493,-0.0097749403495532,-0.02448156861859413,1.0272432182372309,3.3517016327758324,0.0385724445173152,0.388622271289409
0,2,1,3,2,0.75,30,3.6612445535976734,35.01355918872664,-0.0395456336653978,0.0278958239480817,3.106723073474914,26.271865036309592,-0.0334191776880801,-0.34817162313546934,0.93944891609761,3.470221254667388,0.0045753759126255,0.5142819420482585
