,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,2,3,3,2,0.25,10,1.6835772221905003,5.344201270334605,-0.0350650939285748,0.2961930190476742,1.6121210578774667,4.659689243103944,-0.0032535055899474,0.4565760488790345,1.9004073859692392,5.40703251530361,-0.0119193630611182,-0.0965408100933682
0,2,2,1,1,0.25,20,1.6898944795747997,5.334301025575844,-0.0331476141682174,-0.1074050141032955,1.6209931823789896,4.711345276628743,-0.0143752980561129,0.17211342563723186,1.8893059636528184,5.3451978253437575,-0.0003470782815913,-0.0959570140310767
0,3,3,2,2,0.5,20,1.6822650393991878,5.385042093739258,-0.0429751460720282,-0.1074050141032955,1.5985920478538376,4.653799061976139,-0.001985321263326,-0.11990692830414773,1.8976560365437585,5.372521099170899,-0.0054605947565988,-0.0959570140310768
0,1,2,3,2,0.25,20,1.6492792842858586,5.08603989531373,0.0149356104550723,0.4182596627253993,1.6149402427660875,4.569475065178368,0.0161700408175078,0.5663285878031845,1.816746148633207,5.118821244490101,0.0420190152939571,0.6344534299626059
0,3,3,1,1,0.75,10,1.6608716800535068,5.019379335140167,0.0278464301430181,0.4359737151945101,1.5623836192367817,4.39230716532989,0.0543151417733376,0.6942896935287082,1.840148969958132,5.207419410706508,0.0254379794536251,0.5507824781568754
0,1,3,2,2,0.5,10,1.6539121131091146,5.211817223032792,-0.0094249468937464,0.2483377361376114,1.579947615528003,4.547896709109514,0.0208159646638209,-0.23825530200063189,1.879672898015584,5.341284149836492,0.000385361187809,0.0240034572334971
0,3,3,1,1,0.75,20,1.7022607709063695,5.407765175048628,-0.0473761532759275,0.1814870418417052,1.6373530392022873,4.648910490324493,-0.000932788274329,0.39698110606695813,1.8312148796845669,5.224627658603251,0.0222174774126656,0.3533984369347611
0,1,1,2,3,0.75,10,1.7022368573249476,5.387447083348458,-0.0434409445458923,-0.1678853326325828,1.6068600738934995,4.583250689635218,0.0132040826157933,0.11317511042815928,1.9134765329680343,5.454264068843922,-0.0207586891498048,-0.1679595747114589
0,2,2,3,1,0.5,10,1.694479875790288,5.165750496729973,-0.0005027416893335,0.512351558377941,1.5841233340537113,4.599828939538108,0.0096347056758535,0.040476890327948434,1.7949105700871597,5.00115116951113,0.0640408224473376,0.4196738981371885
0,2,3,1,3,0.25,10,1.6472178927766437,5.19619958299395,-0.0064001218102527,0.750641512321145,1.63249410297199,4.76804569398269,-0.0265831706224963,0.5751401698564462,1.8533156513189029,5.178793569283643,0.0307952698227376,0.4519979880166492
