,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,2,2,3,3,0.25,20,2.277896365580124,8.753776733362281,-0.0704409258771454,0.9118528662916192,2.1852707793092008,7.307775053458189,-0.0586757590614088,1.2030793031880131,1.3182907577808405,5.380723668228444,-0.0080605453969473,-0.2038650817195777
0,3,2,2,1,0.5,20,2.2771641222764893,8.695478402944604,-0.0633120121876342,0.2590494010981942,2.1434197397966805,7.0432655079588296,-0.0203563195860507,0.3475167671475975,1.3791680150252112,5.374266382032727,-0.0068507944701947,-0.0365393066001326
0,1,2,2,1,0.75,30,2.135687736927179,8.072578953727376,0.0128582036470055,0.8166427283939617,2.052950988508821,6.834672683018045,0.0098624769236265,0.36141690408066346,1.3638731112963225,4.822198191896883,0.0965773306592776,0.514284148529932
0,1,3,2,1,0.25,20,2.239392204967521,8.556666397897057,-0.0463376186507673,0.4053197139916142,2.1356217098836088,7.071809582256521,-0.0244914933294617,0.3701855171633649,1.3940605437377596,5.243044076376744,0.0177332646943537,0.6076267947281011
0,3,1,3,2,0.5,30,2.2526871619956848,8.582266038484715,-0.0494680278224266,0.9640148963784116,2.1795724085692725,7.2394241890805135,-0.0487737844250526,0.5682103542486137,1.33433592570585,5.401631274406546,-0.0119775153412113,-0.2722480598895501
0,1,2,1,2,0.75,20,2.207268997262136,8.405034383200036,-0.0277955517065318,0.7601032133566336,2.167186850718832,7.489320926592077,-0.0849762696324798,0.89680626865689,1.509339330616189,4.545695523892551,0.1483791787931974,0.7437686226067532
0,1,1,2,3,0.25,20,2.16769748162486,8.101700989566714,0.0092970642717596,0.783436568409836,2.07398488766714,7.080023291641473,-0.0256814115951737,0.7949579527860249,1.4844056594447572,4.715193562425551,0.11662428935775,0.5381784012202845
0,1,2,3,1,0.75,30,2.204821451046889,7.876419672801369,0.0368452127620049,0.698909704901173,2.173941981039164,6.931618246888606,-0.0041820055169945,0.2894743867693152,1.3776834900928727,4.527167868794461,0.1518502728791823,0.6275715932027556
0,3,2,1,1,0.25,30,2.1523627665500213,7.923059581392168,0.0311419296585547,0.8674048375885454,2.123822382691382,7.146358747028993,-0.0352914143759561,0.6779817591110786,1.3168702446766156,4.273705992713899,0.1993355058688978,0.67061066169206
0,2,3,2,2,0.5,10,2.243161384843384,8.27289306298511,-0.0116368716914929,0.5537358054416073,2.1609939533332287,6.9686849488868985,-0.0095518504543228,0.3379689515035874,1.3484485051087305,4.727719969403839,0.1142775089934362,0.652195245422359
