,a,b,A,B,R_y,s,mae_test,mse_test,R2_test,SR_test,mae_val,mse_val,R2_val,SR_val,mae_train,mse_train,R2_train,SR_train
0,3,2,1,1,0.75,10,0.6446803060332662,0.6643280033723085,0.013795832183063,0.529733219200459,0.6651167923244187,0.7300042945159205,0.0331804367798364,0.5032426217169446,0.653825652352125,0.9392751232309392,-0.0165660045710698,0.3356075204421431
0,1,2,1,3,0.75,30,0.6652891261179751,0.6745831987606182,-0.001428148113399,0.3987988392041234,0.6678906256301659,0.7510566932580351,0.0052985857969117,0.09365729710916754,0.6589288449733681,0.9306894246887288,-0.0072738078039671,-0.2585932717505479
0,2,3,2,2,0.5,20,0.6260257001499557,0.6316199618325037,0.0623513751135743,0.7172809208613334,0.6542804422787308,0.7217169644457335,0.0441561980170119,0.5442603396736982,0.6714535627004284,0.9452544087942976,-0.023037312375352,0.1065395507439811
0,1,2,1,2,0.75,30,0.628350914312133,0.6336592025335743,0.0593240939085537,0.7172809208613334,0.6540902735681442,0.7227574944052955,0.0427781174651868,0.9981563031363953,0.6674843115460127,0.940810630649614,-0.0182278655136038,0.1065395507439811
0,1,3,2,1,0.75,10,0.6565210079313467,0.6619598553139845,0.0173113809380019,0.7172809208613333,0.6643791919705067,0.743870281871669,0.0148162875006998,0.573837465330322,0.6571681488022414,0.9263021799624626,-0.0025255463711351,0.106539550743981
0,1,1,3,1,0.5,20,0.6348196106730273,0.6398641329242045,0.0501127883769638,0.7172809208613333,0.655238063199455,0.7268124758358764,0.0374076896402658,0.6027114935040615,0.662144781799235,0.9335723283374292,-0.0103939392449465,0.1065395507439811
0,3,1,1,3,0.5,10,0.6670133152874239,0.676371763539562,-0.0040832974228532,0.7172809208613333,0.6691486063460806,0.7557110159979651,-0.0008656111979685,0.6517899246127437,0.6579609899567941,0.9266127465121252,-0.0028616687582134,0.106539550743981
0,1,2,2,3,0.75,20,0.6515865679188043,0.6560928755399744,0.02602099407527,0.7172809208613334,0.662238326139237,0.7391615333539338,0.0210525661355389,0.6490505499948996,0.6571452432411427,0.9269640601613324,-0.0032418912339216,0.1065395507439811
0,1,3,1,1,0.75,10,0.6624251392443007,0.6669874045888584,0.009847914060772,0.5331181453636836,0.6663853416633945,0.7462738486146147,0.0116329975309796,0.8434156502629263,0.6616640314098522,0.9331238806366003,-0.0099085897704256,-0.2885044684309731
0,1,1,1,2,0.75,20,0.6283307023851835,0.6192663532735536,0.0806904789697574,0.7859665703362945,0.6402782160412345,0.7104368477463484,0.0590956135551135,0.34987977944552373,0.6745747161646086,0.915580785361371,0.0090780881801249,0.5519302622018123
0,1,1,2,3,0.75,10,0.6608435120122997,0.6674751509298037,0.0091238478286758,0.3531715069735656,0.6677664071415517,0.7437723454212084,0.014945994787313,0.5964882914443556,0.6609643431635067,0.944532207615725,-0.0222556828522868,-0.3557461909387615
0,2,1,3,2,0.5,30,0.6372790350928208,0.6449664958792888,0.0425382595501264,0.5514007791797759,0.660217412507905,0.7334659705415025,0.0285957841576457,0.1713344841245713,0.6700119651762296,0.8976189749701228,0.0285179363914619,0.6617712644388195
0,2,1,1,1,0.5,10,0.66542234986141,0.6841186017394598,-0.0155835865591835,0.1550289431413837,0.6675503831312586,0.7433316092703292,0.0155297068778988,0.14540764081360147,0.6531586166900535,0.9676735842394868,-0.0473013123945351,-0.3043778761781782
0,3,3,1,1,0.25,20,0.6569590044857798,0.6550516365771843,0.0275667278085827,0.3332162420882835,0.6622369643808256,0.7313676549844956,0.031374798672442,-0.11884569330215866,0.6985294958797048,0.976759996920998,-0.0571354259647471,-0.3261154523658291
0,3,1,2,1,0.5,20,0.666654158775365,0.6850701267798984,-0.0169961387260337,0.1362868729303114,0.6607594859187185,0.745179014382503,0.0130829988008908,-0.022182773091131647,0.6543977836609084,0.9204354224202512,0.0038239737289588,0.4142409858417778
0,1,1,1,2,0.5,20,0.6431295524580234,0.6450390791999548,0.0424305086003072,0.5540456949984456,0.6564448807058807,0.7328198829842909,0.0294514641783769,0.8165119410554749,0.6750010976580532,0.9097974374958026,0.0153373350049768,0.5320760112909915
0,1,1,3,1,0.5,10,0.6525036093437091,0.6520049050512204,0.0320896431664665,0.5553783534569715,0.6611204823128686,0.7351017781197036,0.0264293163982781,0.0885597397027077,0.6647174026855679,0.9301994427718776,-0.0067435063542573,0.0149133197716064
0,1,3,2,1,0.25,10,0.6410939568047994,0.659108445071131,0.0215443391324228,0.4991172341834611,0.6676073939668709,0.7477508553278476,0.0096768460451751,0.17022381899925215,0.6595278163349034,0.9123247922636069,0.0126020097792828,0.4841916342871847
0,3,1,2,1,0.75,30,0.6399090035166671,0.6397028127660261,0.0503522703972019,0.5628227489046801,0.657180369320131,0.7239364624738995,0.0412166891260644,0.7814246569643458,0.6866855112585182,0.893231163932332,0.0332668107363466,0.5172941366617496
0,1,2,3,1,0.25,30,0.6617585466893545,0.6676135948950606,0.0089183258352443,0.5605376492926963,0.6666974487800545,0.7475489328394319,0.0099442727076221,0.8507832117969287,0.6601900204805529,0.9330458596217112,-0.0098241485780457,-0.2807530485011645
0,3,1,2,1,0.5,30,0.6377526765206695,0.6348898772544807,0.0574971401555526,0.5661013895115339,0.657378623346574,0.7309115000795251,0.0319789314005609,0.8352257592371793,0.7029005370212055,0.9103457863102664,0.0147438637741905,0.583649799382317
0,1,2,1,1,0.25,20,0.6383781833889252,0.6612627388146068,0.0183462600845235,0.3286832518533457,0.6527691682671882,0.7443747806895902,0.0141481279700618,0.49758959824738536,0.7015171195491013,0.9358730237664772,-0.0128839538340661,0.3905442434593315
0,3,1,3,2,0.25,10,0.6648619110490721,0.6714022659936357,0.0032939908547295,0.1860690735943653,0.6659709042430892,0.7468322722832069,0.0108934197895662,0.04618625897250289,0.6578100566510134,0.9134066787199522,0.0114310972690659,0.6393825937699442
0,1,2,1,3,0.5,30,0.6617299240081294,0.6657880226441466,0.0116284132519466,0.4231540239709497,0.6637056790097451,0.7454872277993912,0.0126748001596868,0.4748420136765046,0.6655625554343095,0.9413245985892386,-0.0187841267430766,-0.4926234399998976
0,1,2,1,3,0.25,30,0.6302846476864974,0.6314384203667407,0.0626208759463831,0.611290564809435,0.6590274393551078,0.7581728825740295,-0.004126113616458,0.5544670025483818,0.6849699004689767,0.8406723688042699,0.0901505533661052,1.0982499325560675
0,1,1,3,2,0.5,30,0.6458690786743377,0.6446559441632058,0.0429992778952347,0.835853522518241,0.6601879999359987,0.7416146421624943,0.0178036625268324,0.77532595879005,0.6635292908130627,0.9060480843485336,0.019395214165594,0.5417123544412664
0,2,1,1,3,0.75,20,0.6478228941866737,0.6637587120872154,0.0146409530197741,0.4046338412615856,0.6727894722597884,0.7480161138670135,0.0093255369543882,0.589915217099042,0.6715764184331563,0.9411562777064784,-0.0186019551055647,0.2793933222408499
0,1,3,3,2,0.5,20,0.648657398534458,0.6585335894852261,0.0223977202511388,0.4299620547298329,0.6595611565895609,0.7438213080692903,0.0148811485303962,0.4036859473383922,0.6459558979963059,0.8818254813937783,0.0456110417724462,1.0783355060826705
0,3,3,1,2,0.5,20,0.648657398534458,0.6585335894852261,0.0223977202511388,0.4299620547298329,0.6595611565895609,0.7438213080692903,0.0148811485303962,0.1839165486562805,0.6459558979963059,0.8818254813937783,0.0456110417724462,1.0783355060826705
0,2,1,3,3,0.5,20,0.6440952797634302,0.6723251459966603,0.0019239626446322,0.323518724595206,0.6624867414595316,0.7495950909621806,0.0072343356327627,0.40645437697902903,0.687095404663216,0.9177589133860836,0.0067207267971152,0.5633537950478086
0,2,2,1,1,0.5,20,0.6587408199055726,0.659326127360801,0.0212211867434785,0.5476444311070823,0.6680070622615714,0.7419923544070604,0.0173034194596921,0.4265211239321581,0.6727287495338452,0.9304180761030988,-0.0069801305408123,0.0647685672064335
0,1,2,2,3,0.25,10,0.6514665990504528,0.6520067394979567,0.0320869199047527,0.5862010834615449,0.6587977986386179,0.7388906241130008,0.0214113590302641,0.8099377295882327,0.6654107983890845,0.9259254348681776,-0.002117799752741,0.1177249948387781
0,3,1,1,3,0.25,10,0.6641951029555446,0.6715749778382133,0.0030375977174704,0.5862010834615449,0.6670430510372335,0.7521796337193005,0.0038113605648975,0.26030550344928904,0.6587969362353643,0.9255776657587949,-0.0017414134892332,0.1177249948387781
0,3,2,3,3,0.5,20,0.6630474563638258,0.6884953695678846,-0.0220809593209045,0.1704888478624299,0.6832962385046016,0.7583775262440493,-0.0043971442188128,-0.0027787321934800713,0.6606169043638862,0.9465601981559698,-0.0244505522678772,-0.1105724540691821
0,1,1,1,2,0.25,20,0.6581324049831214,0.6740905646068931,-0.0006968258551978,0.2755634512301387,0.666540870622773,0.7480478786754113,0.0092834675605344,0.5677074009060133,0.681354678301445,0.95183711247956,-0.0301616922498919,-0.1519549737114416
0,2,1,3,3,0.5,30,0.6650868282550945,0.6772907421032436,-0.0054475338919417,0.0894391655082947,0.6678279186794365,0.7509180183837437,0.0054822471567136,0.31389041010228547,0.6542567052257607,0.9369298965820846,-0.0140277943861359,-0.0587726798151963
0,2,2,2,3,0.25,30,0.6622802379281763,0.6725370948488312,0.0016093216234591,0.3701052166575632,0.6724179444565359,0.7486143931770782,0.0085331742990096,0.005200745908756577,0.6622544900069629,0.8738507959190787,0.0542419465523369,0.7992113563049486
0,2,3,1,3,0.25,10,0.6674476794520583,0.6784289458987828,-0.0071372132691283,0.0689825364612382,0.669364313219471,0.7561088504774296,-0.0013925042047073,0.153478057553734,0.6573195058480994,0.9272991972464965,-0.0036046060117567,-0.0858635618903975
0,1,1,1,1,0.75,30,0.6539034654989357,0.6579535356699903,0.0232588182136511,0.5860487677602877,0.6677100919386799,0.7448541111369886,0.0135133014940076,0.47256188216515593,0.6605027321079864,0.9249434152378648,-0.0010549718897359,0.1847448611484128
0,2,1,3,1,0.75,10,0.6625895522263048,0.6899845870879344,-0.0242917234579027,0.2721199994248624,0.6743120094515425,0.7865246963443147,-0.0416753286167113,0.427629175126784,0.6866568532702713,0.8828949399257648,0.0444535798531138,0.8573832727234061
0,1,2,3,2,0.5,10,0.6625328552013611,0.6593514308249159,0.0211836233987997,0.5677851122810927,0.6654885027381676,0.7447618762724454,0.0136354575855831,0.6009721103313136,0.6611989599222642,0.905458812109558,0.0200329763193701,0.5376896448696121
0,3,1,1,1,0.5,20,0.6444065234641976,0.6432534188395143,0.0450813462600665,0.5568431543598955,0.6557162457803124,0.7361560029323398,0.0250330983478559,0.21692979804270196,0.6757820848079102,0.924533834283354,-0.0006116874204922,0.2226883651589592
